ΤΚ,Περιοχή,Ζώνη,"Συνολική κατανάλωση","Ημέρες κατανάλωσης","Μέση ημερήσια κατανάλωση","Πλήθος παροχών","Μήνας κατανάλωσης"
10434,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Ε",250,38,6.58,3,01/2024
10434,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση A",2,69,0.02,23,01/2024
10434,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση Β",22,84,0.27,28,01/2024
10434,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση Γ",21,30,0.69,10,01/2024
10434,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση Δ",12,9,1.37,3,01/2024
10435,ΚΕΝΤΡΟ,"Κλάση A",21,853,0.02,98,01/2024
10435,ΚΕΝΤΡΟ,"Κλάση Β",219,847,0.26,104,01/2024
10435,ΚΕΝΤΡΟ,"Κλάση Γ",94,160,0.59,20,01/2024
10435,ΚΕΝΤΡΟ,"Κλάση Δ",45,24,1.88,3,01/2024
10435,ΚΕΝΤΡΟ,"Κλάση Ε",563,16,35.19,2,01/2024
10435,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση A",390,13837,0.03,1354,01/2024
10435,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Β","3,624",14797,0.24,1467,01/2024
10435,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Γ","1,171",1778,0.66,174,01/2024
10435,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Δ","1,200",632,1.90,60,01/2024
10435,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Ε",351,19,18.49,2,01/2024
10436,ΚΕΝΤΡΟ,"Κλάση A",7,295,0.02,43,01/2024
10436,ΚΕΝΤΡΟ,"Κλάση Β",80,286,0.28,35,01/2024
10436,ΚΕΝΤΡΟ,"Κλάση Γ",50,73,0.68,8,01/2024
10436,ΚΕΝΤΡΟ,"Κλάση Δ",29,14,2.10,2,01/2024
10436,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση A",246,10066,0.02,1016,01/2024
10436,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Β","2,416",9973,0.24,1006,01/2024
10436,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Γ",980,1514,0.65,150,01/2024
10436,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Δ",861,473,1.82,47,01/2024
10436,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Ε","1,471",166,8.86,11,01/2024
10437,"ΑΓ. ΠΑΥΛΟΣ","Κλάση A",27,1187,0.02,58,01/2024
10437,"ΑΓ. ΠΑΥΛΟΣ","Κλάση Β",236,1025,0.23,55,01/2024
10437,"ΑΓ. ΠΑΥΛΟΣ","Κλάση Γ",132,208,0.63,8,01/2024
10437,ΚΕΝΤΡΟ,"Κλάση A",112,6436,0.02,657,01/2024
10437,ΚΕΝΤΡΟ,"Κλάση Β","1,025",3849,0.27,392,01/2024
10437,ΚΕΝΤΡΟ,"Κλάση Γ",795,1157,0.69,107,01/2024
10437,ΚΕΝΤΡΟ,"Κλάση Δ",886,482,1.84,41,01/2024
10437,ΚΕΝΤΡΟ,"Κλάση Ε","1,680",195,8.61,10,01/2024
10437,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση A",58,3166,0.02,337,01/2024
10437,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Β",452,1761,0.26,196,01/2024
10437,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Γ",338,511,0.66,59,01/2024
10437,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Δ",502,220,2.28,23,01/2024
10437,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Ε","4,244",94,45.15,6,01/2024
10437,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση A",158,6789,0.02,220,01/2024
10437,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Β","1,391",5700,0.24,184,01/2024
10437,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Γ",875,1275,0.69,42,01/2024
10437,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Δ","1,092",497,2.20,17,01/2024
10437,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Ε",861,93,9.26,3,01/2024
10437,"ΠΛΑΤΕΙΑ ΚΑΡΑΙΣΚΑΚΗ","Κλάση A",1,93,0.01,3,01/2024
10437,"ΠΛΑΤΕΙΑ ΚΑΡΑΙΣΚΑΚΗ","Κλάση Β",7,62,0.11,2,01/2024
10438,"ΑΓ. ΠΑΥΛΟΣ","Κλάση A",561,23157,0.02,747,01/2024
10438,"ΑΓ. ΠΑΥΛΟΣ","Κλάση Β","5,492",23808,0.23,768,01/2024
10438,"ΑΓ. ΠΑΥΛΟΣ","Κλάση Γ","1,587",2542,0.62,82,01/2024
10438,"ΑΓ. ΠΑΥΛΟΣ","Κλάση Δ","1,163",651,1.79,21,01/2024
10438,ΒΑΘΗΣ,"Κλάση A",552,26089,0.02,846,01/2024
10438,ΒΑΘΗΣ,"Κλάση Β","6,029",25283,0.24,816,01/2024
10438,ΒΑΘΗΣ,"Κλάση Γ","2,190",3386,0.65,111,01/2024
10438,ΒΑΘΗΣ,"Κλάση Δ","1,402",740,1.89,25,01/2024
10438,ΒΑΘΗΣ,"Κλάση Ε",517,62,8.34,2,01/2024
10438,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση A",192,7626,0.03,246,01/2024
10438,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Β","1,683",6603,0.25,213,01/2024
10438,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Γ","1,332",1860,0.72,60,01/2024
10438,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Δ","1,335",744,1.79,24,01/2024
10438,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Ε","1,406",155,9.07,5,01/2024
10439,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση A",262,11346,0.02,366,01/2024
10439,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση Β","2,663",11377,0.23,367,01/2024
10439,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση Γ",894,1333,0.67,43,01/2024
10439,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση Δ",287,248,1.16,8,01/2024
10439,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση Ε","1,329",93,14.29,3,01/2024
10439,"ΑΓ. ΠΑΥΛΟΣ","Κλάση A",357,13153,0.03,425,01/2024
10439,"ΑΓ. ΠΑΥΛΟΣ","Κλάση Β","3,409",14189,0.24,458,01/2024
10439,"ΑΓ. ΠΑΥΛΟΣ","Κλάση Γ",813,1271,0.64,41,01/2024
10439,"ΑΓ. ΠΑΥΛΟΣ","Κλάση Δ",264,186,1.42,6,01/2024
10439,"ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ","Κλάση A",134,4836,0.03,156,01/2024
10439,"ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ","Κλάση Β","1,105",4712,0.23,152,01/2024
10439,"ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ","Κλάση Γ",283,465,0.61,15,01/2024
10439,"ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ","Κλάση Δ",112,62,1.80,2,01/2024
10439,"ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ","Κλάση Ε",468,62,7.55,2,01/2024
10439,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση A",241,10385,0.02,335,01/2024
10439,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Β","2,309",9145,0.25,295,01/2024
10439,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Γ","1,086",1674,0.65,54,01/2024
10439,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Δ",742,465,1.59,15,01/2024
10439,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση A",33,1674,0.02,54,01/2024
10439,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Β",270,1085,0.25,35,01/2024
10439,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Γ",200,341,0.59,11,01/2024
10439,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση A",616,22444,0.03,724,01/2024
10439,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση Β","5,121",21328,0.24,688,01/2024
10439,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση Γ","1,438",2294,0.63,74,01/2024
